Curve,Frame
13.696376,55.281408
13.694432,55.371744
13.69376,55.402848
13.691807,55.493184
13.691161,55.52304
13.689286,55.60944
13.686652,55.7304
13.68602,55.759392
13.684019,55.850976
13.681445,55.968576
13.680867,55.99488
13.678855,56.086464
13.678247,56.114112
13.676211,56.206656
13.67363,56.323776
13.671035,56.44128
13.669168,56.52576
13.668369,56.561856
13.666519,56.645472
13.665787,56.678496
13.663956,56.761248
13.663195,56.795616
13.661421,56.87568
13.660534,56.915712
13.658769,56.995392
13.656205,57.111168
13.653594,57.229152
13.651462,57.325536
13.650927,57.349728
13.648816,57.445248
13.64835,57.466368
13.646242,57.561888
13.645758,57.583872
13.643682,57.678144
13.643121,57.703584
13.64104,57.79824
13.640557,57.820224
13.638481,57.914976
13.63799,57.937344
13.63588,58.033824
13.635381,58.056672
13.633249,58.1544
13.632837,58.173312
13.630712,58.27104
13.628174,58.388064
13.625579,58.508256
13.62307,58.624896
13.621186,58.712832
13.620554,58.7424
13.618631,58.832544
13.617993,58.862592
13.616163,58.9488
13.615547,58.977888
13.613625,59.068896
13.611101,59.189088
13.608692,59.304384
13.607079,59.382048
13.606261,59.421504
13.604595,59.50224
13.60381,59.540352
13.602199,59.61888
13.601419,59.656992
13.599793,59.736864
13.598984,59.776704
13.59737,59.856576
13.596548,59.89728
13.595043,59.972352
13.594219,60.013536
13.592656,60.092064
13.591874,60.13152
13.590281,60.21216
13.589488,60.25248
13.587977,60.329664
13.585685,60.447648
13.583372,60.56784
13.581148,60.68448
13.580781,60.703872
13.57892,60.802464
13.578598,60.819648
13.576683,60.922176
13.576396,60.937536
13.574526,61.038816
13.57417,61.058208
13.572048,61.174368
13.569949,61.290624
13.567796,61.4112
13.567126,61.449024
13.565739,61.52784
13.564977,61.571424
13.563684,61.645824
13.562962,61.687584
13.561641,61.764672
13.560965,61.804224
13.559661,61.881312
13.558943,61.923936
13.557656,62.001024
13.556999,62.040672
13.55568,62.120736
13.555053,62.15904
13.553795,62.236512
13.553072,62.281344
13.551875,62.356224
13.551163,62.401056
13.549345,62.516832
13.547495,62.636544
13.545655,62.7576
13.545022,62.799648
13.543917,62.87376
13.543231,62.920224
13.542151,62.993952
13.541528,63.036864
13.540404,63.115008
13.539792,63.15792
13.538101,63.278112
13.53649,63.394752
13.53488,63.5136
13.534217,63.563232
13.533291,63.633312
13.532686,63.679488
13.531785,63.749088
13.531148,63.79872
13.53026,63.8688
13.529648,63.917568
13.528196,64.035072
13.526756,64.1544
13.525339,64.274496
13.523996,64.391136
13.522656,64.510464
13.521335,64.63104
13.520091,64.74768
13.518875,64.8648
13.517674,64.983648
13.516529,65.100288
13.5154,65.218656
13.512857,65.499744
13.511832,65.619456
13.511786,65.625024
13.510868,65.736096
13.510794,65.74512
13.509939,65.852352
13.509865,65.86176
13.509021,65.971584
13.508969,65.9784
13.508157,66.088224
13.508072,66.099936
13.507313,66.206688
13.50722,66.220032
13.506496,66.326304
13.506429,66.336288
13.505735,66.44256
13.505644,66.456864
13.505003,66.55968
13.5049,66.576576
13.504298,66.677664
13.504208,66.693216
13.503635,66.794304
13.503535,66.812448
13.502992,66.913536
13.502888,66.933504
13.502383,67.032864
13.502297,67.050144
13.501819,67.149888
13.501191,67.289184
13.50009,67.564128
13.499674,67.681632
13.499285,67.801344
13.499236,67.817376
13.49894,67.9176
13.498894,67.934016
13.498616,68.038176
13.498328,68.158272
13.498298,68.171712
13.498079,68.275392
13.498054,68.288352
13.49786,68.39424
13.497842,68.404992
13.497675,68.513088
13.497657,68.525184
13.497524,68.629728
13.49751,68.641824
13.497405,68.746848
13.497393,68.760192
13.497316,68.8656
13.497308,68.880384
13.497262,68.981376
13.497256,68.997024
13.497237,69.101088
13.497236,69.114528
13.497245,69.22128
13.497248,69.235584
13.497292,69.352608
13.49752,69.632448
13.497671,69.75216
13.497732,69.794784
13.497855,69.872736
13.497921,69.911424
13.498067,69.991104
13.498139,70.028064
13.49831,70.109952
13.498393,70.147392
13.498594,70.232736
13.498671,70.264032
13.498894,70.34976
13.498986,70.383264
13.499233,70.469952
13.499335,70.503936
13.499605,70.590528
13.499702,70.620576
13.500005,70.71072
13.500098,70.737216
13.500424,70.827744
13.500535,70.857312
13.500877,70.946208
13.500986,70.973568
13.501363,71.06544
13.501477,71.092416
13.501863,71.181216
13.501999,71.211648
13.502402,71.299584
13.502541,71.329248
13.503107,71.445888
13.50449,71.710368
13.505154,71.828736
13.505836,71.945376
13.506543,72.062016
13.507297,72.181728
13.508058,72.298368
13.508871,72.418944
13.509406,72.496224
13.5097,72.537792
13.510262,72.61632
13.510545,72.655296
13.511111,72.732096
13.511416,72.772896
13.511995,72.849216
13.512323,72.891744
13.512925,72.968928
13.513234,73.007904
13.513871,73.087296
13.514206,73.12848
13.514834,73.2048
13.515203,73.249056
13.515833,73.323648
13.516223,73.369248
13.516834,73.439904
13.517879,73.558272
13.51896,73.677984
13.520037,73.794624
13.52115,73.912608
13.52232,74.034048
13.523468,74.150688
13.526942,74.490816
13.527669,74.559648
13.52821,74.610528
13.528946,74.678976
13.529501,74.73024
13.530217,74.795616
13.530796,74.848128
13.531519,74.91312
13.532133,74.96784
13.532873,75.033312
13.533482,75.086688
13.534214,75.150336
13.534838,75.204288
13.535581,75.267936
13.536215,75.321792
13.537006,75.388512
13.537645,75.441888
13.53839,75.503808
13.539848,75.62352
13.541332,75.743712
13.542718,75.8544
13.542772,75.858624
13.544232,75.973632
13.544275,75.976992
13.545796,76.095072
13.545822,76.097184
13.547328,76.212576
13.547338,76.213344
13.548892,76.33104
13.550488,76.450272
13.552074,76.567392
13.552884,76.626624
13.553685,76.684896
13.554553,76.74768
13.555339,76.804224
13.556187,76.8648
13.556969,76.920384
13.558655,77.039232
13.560359,77.15808
13.561217,77.217408
13.562063,77.275584
13.562936,77.335296
13.563805,77.394432
13.5647,77.455008
13.565571,77.51376
13.566436,77.571648
13.571809,77.925696
13.573701,78.048096
13.575577,78.168192
13.577415,78.284832
13.579269,78.401472
13.581196,78.521664
13.583089,78.638784
13.585004,78.756288
13.586978,78.876384
13.588925,78.993984
13.590878,79.111008
13.592898,79.2312
13.594889,79.348704
13.596894,79.466208
13.59898,79.587744
13.606157,79.999296
13.608275,80.119008
13.610436,80.240448
13.612548,80.358432
13.61468,80.4768
13.616848,80.596512
13.618987,80.714016
13.621186,80.834208
13.623428,80.956128
13.625642,81.07584
13.632294,81.432288
13.634489,81.548928
13.644569,82.078944
13.646885,82.19952
13.649191,82.319232
13.651444,82.435872
13.653772,82.556064
13.656115,82.67664
13.658412,82.794528
13.660705,82.912128
13.663055,83.032224
13.665358,83.149728
13.667656,83.266848
13.670009,83.38656
13.672305,83.5032
13.674629,83.621184
13.67699,83.740896
13.697479,84.77856
13.699837,84.898272
13.702192,85.017984
13.704483,85.134624
13.706788,85.252128
13.709139,85.37232
13.711417,85.48896
13.713732,85.607808
13.716067,85.727904
13.718318,85.84416
13.720571,85.9608
13.722867,86.080128
13.725105,86.196768
13.727367,86.315136
13.729653,86.435328
13.737409,86.847264
13.739637,86.966976
13.741836,87.085824
13.743981,87.202464
13.746169,87.322176
13.748334,87.441504
13.750438,87.558144
13.752564,87.676992
13.754714,87.797952
13.756761,87.914208
