Phase,Mag,MagErr,Curve,
0.162874,13.574291,0.007,13.57826,
0.163384,13.581655,0.005,13.577531,
0.163413,13.574788,0.005,13.577488,
0.16409,13.565284,0.007,13.576527,
0.164599,13.578648,0.005,13.575809,
0.164656,13.573781,0.005,13.575729,
0.165855,13.572641,0.005,13.574057,
0.165866,13.573774,0.005,13.574041,
0.16707,13.581633,0.005,13.572388,
0.167127,13.575767,0.005,13.572311,
0.16834,13.566261,0.007,13.570673,
0.16837,13.56276,0.005,13.570634,
0.169578,13.567254,0.007,13.56903,
0.169594,13.567753,0.005,13.569009,
0.170807,13.554248,0.007,13.567427,
0.171712,13.572606,0.005,13.566264,
0.172022,13.562241,0.007,13.565869,
0.173265,13.554234,0.007,13.564306,
0.173849,13.56073,0.005,13.56358,
0.174133,13.569592,0.005,13.563229,
0.174466,13.567228,0.007,13.562821,
0.175105,13.563723,0.005,13.562043,
0.175389,13.573585,0.005,13.561699,
0.175709,13.544221,0.007,13.561315,
0.176329,13.553716,0.005,13.560573,
0.176618,13.561577,0.005,13.560231,
0.176956,13.552214,0.007,13.559833,
0.177549,13.569709,0.005,13.559138,
0.177829,13.56757,0.005,13.558813,
0.178184,13.550208,0.007,13.558402,
0.178801,13.549702,0.005,13.557696,
0.179089,13.551563,0.005,13.557367,
0.179404,13.563201,0.007,13.557011,
0.180002,13.570696,0.005,13.55634,
0.180296,13.553556,0.005,13.556013,
0.18066,13.543194,0.007,13.555609,
0.181213,13.553689,0.005,13.555002,
0.181524,13.547548,0.005,13.554663,
0.181875,13.539188,0.007,13.554282,
0.182473,13.549682,0.005,13.55364,
0.182771,13.558541,0.005,13.553323,
0.1831,13.539181,0.007,13.552975,
0.183689,13.558675,0.005,13.552357,
0.183991,13.545534,0.005,13.552042,
0.184351,13.541174,0.007,13.551669,
0.184917,13.552669,0.005,13.551089,
0.185215,13.541527,0.005,13.550786,
0.185562,13.540168,0.007,13.550436,
0.186458,13.540519,0.005,13.549542,
0.187384,13.545655,0.005,13.548635,
0.187673,13.544512,0.005,13.548356,
0.188617,13.546648,0.005,13.547454,
0.188902,13.536505,0.005,13.547186,
0.189817,13.543144,0.007,13.546335,
0.189873,13.539641,0.005,13.546283,
0.191064,13.541138,0.007,13.545203,
0.191093,13.538634,0.005,13.545177,
0.192279,13.529131,0.007,13.54413,
0.193494,13.536124,0.007,13.543087,
0.193949,13.545475,0.005,13.542705,
0.194732,13.530118,0.007,13.542056,
0.195164,13.551468,0.005,13.541703,
0.195938,13.543111,0.007,13.541081,
0.196379,13.552461,0.005,13.540732,
0.1966,13.547604,0.005,13.540559,
0.197181,13.542104,0.007,13.540108,
0.197815,13.540597,0.005,13.539624,
0.198432,13.539098,0.007,13.53916,
0.198896,13.554446,0.005,13.538817,
0.199044,13.52859,0.005,13.538709,
0.199647,13.535091,0.007,13.538271,
0.200111,13.558439,0.005,13.537939,
0.200295,13.535583,0.005,13.537809,
0.200903,13.534084,0.007,13.537383,
0.20134,13.559432,0.005,13.537083,
0.201511,13.525577,0.004,13.536966,
0.20215,13.538077,0.007,13.536534,
0.202546,13.548425,0.005,13.536272,
0.202735,13.53657,0.005,13.536148,
0.203366,13.550071,0.007,13.535738,
0.203761,13.539418,0.005,13.535486,
0.203982,13.522563,0.005,13.535346,
0.204572,13.541064,0.007,13.534978,
0.205017,13.53341,0.005,13.534705,
0.205206,13.540556,0.005,13.53459,
